,Month,Year,community_board_full,DSNY
191,1,2014,101,1
192,1,2014,102,2
193,1,2014,103,4
194,1,2014,104,2
195,1,2014,108,1
196,1,2014,109,1
197,1,2014,110,2
198,1,2014,112,1
199,1,2014,202,1
200,1,2014,204,4
201,1,2014,205,2
202,1,2014,206,2
203,1,2014,207,1
204,1,2014,208,1
205,1,2014,209,1
206,1,2014,211,3
207,1,2014,212,2
208,1,2014,302,1
209,1,2014,303,1
210,1,2014,304,2
211,1,2014,306,5
212,1,2014,307,2
213,1,2014,308,1
214,1,2014,309,1
215,1,2014,310,2
216,1,2014,311,2
217,1,2014,312,2
218,1,2014,313,2
219,1,2014,314,1
220,1,2014,315,3
221,1,2014,316,1
222,1,2014,317,1
223,1,2014,318,2
224,1,2014,401,5
225,1,2014,402,1
226,1,2014,403,1
227,1,2014,405,2
228,1,2014,407,5
229,1,2014,408,3
230,1,2014,409,1
231,1,2014,410,3
232,1,2014,411,3
233,1,2014,412,5
234,1,2014,413,3
235,1,2014,414,4
236,1,2015,101,1
237,1,2015,102,1
238,1,2015,103,4
239,1,2015,104,1
240,1,2015,106,1
241,1,2015,108,3
242,1,2015,109,3
243,1,2015,110,2
244,1,2015,111,1
245,1,2015,112,1
246,1,2015,201,2
247,1,2015,203,1
248,1,2015,204,2
249,1,2015,206,2
250,1,2015,207,1
251,1,2015,208,4
