,Month,Year,community_board_full,DOT
147,9,2011,206,43
148,9,2011,207,102
149,9,2011,208,169
150,9,2011,209,271
151,9,2011,210,264
152,9,2011,211,211
153,9,2011,212,169
154,9,2011,226,3
155,9,2011,228,2
156,9,2011,301,352
157,9,2011,302,352
158,9,2011,303,290
159,9,2011,304,147
160,9,2011,305,319
161,9,2011,306,344
162,9,2011,307,315
163,9,2011,308,178
164,9,2011,309,94
165,9,2011,310,274
166,9,2011,311,307
167,9,2011,312,470
168,9,2011,313,125
169,9,2011,314,223
170,9,2011,315,317
171,9,2011,316,135
172,9,2011,317,168
173,9,2011,318,206
174,9,2011,355,4
175,9,2011,401,331
176,9,2011,402,275
177,9,2011,403,249
178,9,2011,404,147
179,9,2011,405,468
180,9,2011,406,273
181,9,2011,407,558
182,9,2011,408,416
183,9,2011,409,273
184,9,2011,410,300
185,9,2011,411,349
186,9,2011,412,416
187,9,2011,413,418
188,9,2011,414,248
189,9,2011,481,6
190,9,2011,482,2
191,9,2011,483,2
192,9,2011,484,2
193,10,2011,101,350
194,10,2011,102,381
195,10,2011,103,302
196,10,2011,104,218
197,10,2011,105,451
198,10,2011,106,335
199,10,2011,107,245
200,10,2011,108,420
201,10,2011,109,57
202,10,2011,110,60
203,10,2011,111,69
204,10,2011,112,218
205,10,2011,164,2
206,10,2011,201,88
207,10,2011,202,83
208,10,2011,203,43
209,10,2011,204,72
210,10,2011,205,73
211,10,2011,206,58
212,10,2011,207,89
213,10,2011,208,172
214,10,2011,209,294
215,10,2011,210,406
216,10,2011,211,234
217,10,2011,212,195
218,10,2011,226,4
219,10,2011,227,5
220,10,2011,301,388
221,10,2011,302,348
222,10,2011,303,261
223,10,2011,304,181
224,10,2011,305,291
225,10,2011,306,355
226,10,2011,307,374
227,10,2011,308,184
228,10,2011,309,140
229,10,2011,310,323
230,10,2011,311,434
231,10,2011,312,516
232,10,2011,313,166
233,10,2011,314,198
234,10,2011,315,561
235,10,2011,316,137
236,10,2011,317,225
237,10,2011,318,404
238,10,2011,356,4
239,10,2011,401,397
240,10,2011,402,316
241,10,2011,403,240
242,10,2011,404,203
243,10,2011,405,379
244,10,2011,406,269
245,10,2011,407,631
246,10,2011,408,430
247,10,2011,409,245
248,10,2011,410,246
249,10,2011,411,297
250,10,2011,412,348
251,10,2011,413,403
252,10,2011,414,202
253,10,2011,481,10
254,10,2011,482,3
255,10,2011,484,1
256,11,2011,101,324
257,11,2011,102,238
258,11,2011,103,229
259,11,2011,104,161
260,11,2011,105,437
261,11,2011,106,267
262,11,2011,107,283
263,11,2011,108,277
264,11,2011,109,62
265,11,2011,110,34
266,11,2011,111,78
267,11,2011,112,116
268,11,2011,201,67
269,11,2011,202,77
270,11,2011,203,48
271,11,2011,204,44
272,11,2011,205,60
273,11,2011,206,35
274,11,2011,207,94
275,11,2011,208,204
276,11,2011,209,247
277,11,2011,210,244
278,11,2011,211,199
279,11,2011,212,197
280,11,2011,226,2
281,11,2011,227,3
282,11,2011,228,4
283,11,2011,301,273
284,11,2011,302,284
285,11,2011,303,298
286,11,2011,304,133
287,11,2011,305,252
288,11,2011,306,339
289,11,2011,307,262
290,11,2011,308,179
291,11,2011,309,146
292,11,2011,310,262
293,11,2011,311,349
294,11,2011,312,511
295,11,2011,313,150
296,11,2011,314,158
297,11,2011,315,364
298,11,2011,316,134
299,11,2011,317,132
300,11,2011,318,218
301,11,2011,355,1
302,11,2011,356,11
303,11,2011,401,388
304,11,2011,402,303
305,11,2011,403,276
306,11,2011,404,182
307,11,2011,405,484
308,11,2011,406,238
309,11,2011,407,513
310,11,2011,408,327
311,11,2011,409,215
312,11,2011,410,254
313,11,2011,411,293
314,11,2011,412,384
315,11,2011,413,405
316,11,2011,414,178
317,11,2011,480,1
318,11,2011,481,4
319,11,2011,482,1
320,11,2011,483,1
321,11,2011,484,2
322,12,2011,101,294
323,12,2011,102,250
324,12,2011,103,218
325,12,2011,104,130
326,12,2011,105,627
327,12,2011,106,257
328,12,2011,107,273
329,12,2011,108,316
330,12,2011,109,50
331,12,2011,110,43
332,12,2011,111,57
333,12,2011,112,123
334,12,2011,164,2
335,12,2011,201,58
336,12,2011,202,69
337,12,2011,203,57
338,12,2011,204,62
339,12,2011,205,53
340,12,2011,206,76
341,12,2011,207,80
342,12,2011,208,147
343,12,2011,209,192
344,12,2011,210,225
345,12,2011,211,216
346,12,2011,212,157
347,12,2011,226,1
348,12,2011,227,4
349,12,2011,228,1
350,12,2011,301,278
351,12,2011,302,276
352,12,2011,303,308
353,12,2011,304,147
354,12,2011,305,250
355,12,2011,306,288
356,12,2011,307,222
357,12,2011,308,168
358,12,2011,309,130
359,12,2011,310,269
360,12,2011,311,246
361,12,2011,312,363
362,12,2011,313,93
363,12,2011,314,177
364,12,2011,315,321
365,12,2011,316,136
366,12,2011,317,110
367,12,2011,318,182
368,12,2011,355,2
369,12,2011,356,5
370,12,2011,401,340
371,12,2011,402,279
372,12,2011,403,260
373,12,2011,404,146
374,12,2011,405,405
375,12,2011,406,207
376,12,2011,407,447
377,12,2011,408,309
378,12,2011,409,228
379,12,2011,410,233
380,12,2011,411,296
381,12,2011,412,339
382,12,2011,413,366
383,12,2011,414,195
384,12,2011,481,8
385,12,2011,482,4
386,12,2011,483,2
